Field,Record,Ligand_1,Ligand_2,Name,Sigma_i,Sigma_j,Sigma_ij,Rho,x0,Predval_A
Pd,R6_S4,R6,S4,Pd_R6_S4,-0.1765572858634142,-8.232887404129688,-8.409444689993101,0.5794859504566918,-29.4447663346112,-34.31792138360483
Pd,R6_S5,R6,S5,Pd_R6_S5,-0.1765572858634142,0.0401816295133296,-0.1363756563500846,0.5794859504566918,-29.4447663346112,-29.523794111450382
Pd,R6_S6,R6,S6,Pd_R6_S6,-0.1765572858634142,-8.841235349302753,-9.017792635166167,0.5794859504566918,-29.4447663346112,-34.67045047082182
Pd,R7_R8,R7,R8,Pd_R7_R8,0.31307883173711387,10.3478936396416,10.660972471378713,0.5794859504566918,-29.4447663346112,-23.26688256924168
Pd,R7_R9,R7,R9,Pd_R7_R9,0.31307883173711387,13.723859477181083,14.036938308918197,0.5794859504566918,-29.4447663346112,-21.31055779716579
Pd,R7_S1,R7,S1,Pd_R7_S1,0.31307883173711387,14.866904415760592,15.179983247497706,0.5794859504566918,-29.4447663346112,-20.64817931451833
Pd,R7_S2,R7,S2,Pd_R7_S2,0.31307883173711387,-4.532983594283895,-4.219904762546781,0.5794859504566918,-29.4447663346112,-31.890141856772342
Pd,R7_S3,R7,S3,Pd_R7_S3,0.31307883173711387,-9.072089386446372,-8.759010554709258,0.5794859504566918,-29.4447663346112,-34.52048989096709
Pd,R7_S4,R7,S4,Pd_R7_S4,0.31307883173711387,-8.232887404129688,-7.919808572392574,0.5794859504566918,-29.4447663346112,-34.03418413261917
Pd,R7_S5,R7,S5,Pd_R7_S5,0.31307883173711387,0.0401816295133296,0.35326046125044347,0.5794859504566918,-29.4447663346112,-29.240056860464716
Pd,R7_S6,R7,S6,Pd_R7_S6,0.31307883173711387,-8.841235349302753,-8.52815651756564,0.5794859504566918,-29.4447663346112,-34.38671321983615
Pd,R8_R9,R8,R9,Pd_R8_R9,10.3478936396416,13.723859477181083,24.071753116822684,0.5794859504566918,-29.4447663346112,-15.495523600550372
Pd,R8_S1,R8,S1,Pd_R8_S1,10.3478936396416,14.866904415760592,25.21479805540219,0.5794859504566918,-29.4447663346112,-14.833145117902916
Pd,R8_S2,R8,S2,Pd_R8_S2,10.3478936396416,-4.532983594283895,5.8149100453577045,0.5794859504566918,-29.4447663346112,-26.075107660156924
Pd,R8_S3,R8,S3,Pd_R8_S3,10.3478936396416,-9.072089386446372,1.2758042531952274,0.5794859504566918,-29.4447663346112,-28.705455694351674
Pd,R8_S4,R8,S4,Pd_R8_S4,10.3478936396416,-8.232887404129688,2.1150062355119115,0.5794859504566918,-29.4447663346112,-28.21914993600375
Pd,R8_S5,R8,S5,Pd_R8_S5,10.3478936396416,0.0401816295133296,10.388075269154928,0.5794859504566918,-29.4447663346112,-23.4250226638493
Pd,R8_S6,R8,S6,Pd_R8_S6,10.3478936396416,-8.841235349302753,1.5066582903388461,0.5794859504566918,-29.4447663346112,-28.57167902322074
Pd,R9_S1,R9,S1,Pd_R9_S1,13.723859477181083,14.866904415760592,28.590763892941673,0.5794859504566918,-29.4447663346112,-12.876820345827028
Pd,R9_S2,R9,S2,Pd_R9_S2,13.723859477181083,-4.532983594283895,9.190875882897188,0.5794859504566918,-29.4447663346112,-24.118782888081036
Pd,R9_S3,R9,S3,Pd_R9_S3,13.723859477181083,-9.072089386446372,4.651770090734711,0.5794859504566918,-29.4447663346112,-26.749130922275782
Pd,R9_S4,R9,S4,Pd_R9_S4,13.723859477181083,-8.232887404129688,5.490972073051395,0.5794859504566918,-29.4447663346112,-26.26282516392786
Pd,R9_S5,R9,S5,Pd_R9_S5,13.723859477181083,0.0401816295133296,13.764041106694412,0.5794859504566918,-29.4447663346112,-21.46869789177341
Pd,R9_S6,R9,S6,Pd_R9_S6,13.723859477181083,-8.841235349302753,4.88262412787833,0.5794859504566918,-29.4447663346112,-26.61535425114485
Pd,S1_S2,S1,S2,Pd_S1_S2,14.866904415760592,-4.532983594283895,10.333920821476697,0.5794859504566918,-29.4447663346112,-23.456404405433577
Pd,S1_S3,S1,S3,Pd_S1_S3,14.866904415760592,-9.072089386446372,5.79481502931422,0.5794859504566918,-29.4447663346112,-26.086752439628327
Pd,S1_S4,S1,S4,Pd_S1_S4,14.866904415760592,-8.232887404129688,6.634017011630904,0.5794859504566918,-29.4447663346112,-25.600446681280403
Pd,S1_S5,S1,S5,Pd_S1_S5,14.866904415760592,0.0401816295133296,14.907086045273921,0.5794859504566918,-29.4447663346112,-20.806319409125955
Pd,S1_S6,S1,S6,Pd_S1_S6,14.866904415760592,-8.841235349302753,6.025669066457839,0.5794859504566918,-29.4447663346112,-25.952975768497392
Pd,S2_S3,S2,S3,Pd_S2_S3,-4.532983594283895,-9.072089386446372,-13.605072980730267,0.5794859504566918,-29.4447663346112,-37.328714981882335
Pd,S2_S4,S2,S4,Pd_S2_S4,-4.532983594283895,-8.232887404129688,-12.765870998413583,0.5794859504566918,-29.4447663346112,-36.84240922353441
Pd,S2_S5,S2,S5,Pd_S2_S5,-4.532983594283895,0.0401816295133296,-4.492801964770565,0.5794859504566918,-29.4447663346112,-32.04828195137996
Pd,S2_S6,S2,S6,Pd_S2_S6,-4.532983594283895,-8.841235349302753,-13.374218943586648,0.5794859504566918,-29.4447663346112,-37.1949383107514
